क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,इडागम,धातु
१.१४०,भ्वादि,मखँ, गतौ॑,['अ'],परस्मैपदी,सेट्,मख्
१.१४१,भ्वादि,मखिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,मङ्ख्
१.१४२,भ्वादि,णखँ, गतौ॑,['अ'],परस्मैपदी,सेट्,णख्
१.१४३,भ्वादि,णखिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,णङ्ख्
१.१४४,भ्वादि,रखँ, गतौ॑,['अ'],परस्मैपदी,सेट्,रख्
१.१४५,भ्वादि,रखिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,रङ्ख्
१.१४६,भ्वादि,लखँ, गतौ॑,['अ'],परस्मैपदी,सेट्,लख्
१.१४७,भ्वादि,लखिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,लङ्ख्
१.१४८,भ्वादि,इखँ, गतौ॑,['अ'],परस्मैपदी,सेट्,इख्
१.१४९,भ्वादि,इखिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,इङ्ख्
१.१५०,भ्वादि,ईखँ, गतौ॑,['अ'],परस्मैपदी,सेट्,ईख्
१.१५१,भ्वादि,ईखिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,ईङ्ख्
१.१५२,भ्वादि,वल्गँ, गतौ॑,['अ'],परस्मैपदी,सेट्,वल्ग्
१.१५३,भ्वादि,रगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,रङ्ग्
१.१५४,भ्वादि,लगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,लङ्ग्
१.१५५,भ्वादि,अगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,अङ्ग्
१.१५६,भ्वादि,वगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,वङ्ग्
१.१५७,भ्वादि,मगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,मङ्ग्
१.१५८,भ्वादि,तगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,तङ्ग्
१.१५९,भ्वादि,त्वगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,त्वङ्ग्
१.१६०,भ्वादि,त्रगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,त्रङ्ग्
१.१६१,भ्वादि,श्रगिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,श्रङ्ग्
१.१६२,भ्वादि,श्लगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,श्लङ्ग्
१.१६३,भ्वादि,इगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,इङ्ग्
१.१६४,भ्वादि,रिगिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,रिङ्ग्
१.१६५,भ्वादि,लिगिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,लिङ्ग्
१.१६६,भ्वादि,मुखिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,मुङ्ख्
१.१६७,भ्वादि,थकिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,थङ्क्
१.१६८,भ्वादि,रिखँ,गतौ॑,['अ'],परस्मैपदी,सेट्,रिख्
१.१६९,भ्वादि,रिखिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,रिङ्ख्
१.१७०,भ्वादि,लिखँ,गतौ॑ ।,['अ'],परस्मैपदी,सेट्,लिख्
१.१७१,भ्वादि,लिखिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,लिङ्ख्
१.१७२,भ्वादि,त्रखँ,गतौ॑,['अ'],परस्मैपदी,सेट्,त्रख्
१.१७३,भ्वादि,त्रिखिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,त्रिङ्ख्
१.१७४,भ्वादि,शिखिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,शिङ्ख्
१.१७५,भ्वादि,युगिँ,वर्ज॑ने,['इ'],परस्मैपदी,सेट्,युङ्ग्
१.१७६,भ्वादि,जुगिँ,वर्ज॑ने,['इ'],परस्मैपदी,सेट्,जुङ्ग्
१.१७७,भ्वादि,बुगिँ,वर्ज॑ने,['इ'],परस्मैपदी,सेट्,बुङ्ग्
१.१७८,भ्वादि,वुगिँ,इत्येके॑,['इ'],परस्मैपदी,सेट्,वुङ्ग्
१.१७९,भ्वादि,घघँ,हस॑ने,['अ'],परस्मैपदी,सेट्,घघ्
१.१८०,भ्वादि,घग्घँ,इत्येके॑,['अ'],परस्मैपदी,सेट्,घग्घ्
१.१८१,भ्वादि,दघिँ,पाल॑ने,['इ'],परस्मैपदी,सेट्,दङ्घ्
१.१८२,भ्वादि,लघिँ,शोष॑णे (भा॒षायां॒ दीप्तौ॑ सीमातिक्र॒मे च॑),['इ'],परस्मैपदी,सेट्,लङ्घ्
१.१८३,भ्वादि,मघिँ,मण्ड॑ने,['इ'],परस्मैपदी,सेट्,मङ्घ्
१.१८४,भ्वादि,शिघिँ,आ॒घ्राणे॑ ।,['इ'],परस्मैपदी,सेट्,शिङ्घ्
१.१८५,भ्वादि,अर्घँ,मूल्ये॑,['अ'],परस्मैपदी,सेट्,अर्घ्
