क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,धातु,इडागम
१.४४१,भ्वादि,क्लीबृँ॒,अधा॑र्ष्ठ्ये,['ऋ'],आत्मनेपदी,क्लीब्,सेट्
१.४४२,भ्वादि,क्षीबृँ॒,मदे॑,['ऋ'],आत्मनेपदी,क्षीब्,सेट्
१.४४३,भ्वादि,क्षीवृँ॒,इत्येके॑,['ऋ'],आत्मनेपदी,क्षीव्,सेट्
१.४४४,भ्वादि,शीभृँ॒,कत्थ॑ने,['ऋ'],आत्मनेपदी,शीभ्,सेट्
१.४४५,भ्वादि,बीभृँ॒,कत्थ॑ने,['ऋ'],आत्मनेपदी,बीभ्,सेट्
१.४४६,भ्वादि,चीभृँ॒,कत्थ॑ने,['ऋ'],आत्मनेपदी,चीभ्,सेट्
१.४४७,भ्वादि,रेभृँ॒,शब्दे॑,['ऋ'],आत्मनेपदी,रेभ्,सेट्
१.४४८,भ्वादि,अभिँ॒,शब्दे॑,['इ'],आत्मनेपदी,अम्भ्,सेट्
१.४४९,भ्वादि,रभिँ॒,शब्दे॑,['इ'],आत्मनेपदी,रम्भ्,सेट्
१.४५०,भ्वादि,लभिँ॒,शब्दे॑,['इ'],आत्मनेपदी,लम्भ्,सेट्
१.४५१,भ्वादि,ष्टभिँ॒,प्रतिब॒न्धे,['इ'],आत्मनेपदी,स्तम्भ्,सेट्
१.४५२,भ्वादि,स्कभिँ॒,प्रतिब॒न्धे,['इ'],आत्मनेपदी,स्कम्भ्,सेट्
१.४५३,भ्वादि,जभीँ॒,गात्रविना॒मे,['ई'],आत्मनेपदी,जभ्,सेट्
१.४५४,भ्वादि,जृभिँ॒,गात्रविना॒मे,['इ'],आत्मनेपदी,जृम्भ्,सेट्
१.४५५,भ्वादि,शल्भँ॒,कत्थ॑ने,['अ'],आत्मनेपदी,शल्भ्,सेट्
१.४५६,भ्वादि,वल्भँ॒,भोज॑ने,['अ'],आत्मनेपदी,वल्भ्,सेट्
१.४५७,भ्वादि,गल्भँ॒,धार्ष्ट्ये॑,['अ'],आत्मनेपदी,गल्भ्,सेट्
१.४५८,भ्वादि,श्रम्भुँ॒,प्रमा॒दे ।,['उ'],आत्मनेपदी,श्रम्भ्,सेट्
१.४५९,भ्वादि,स्रम्भुँ॒,इत्येके॑ (दन्त्या॑दिश्च),['उ'],आत्मनेपदी,स्रम्भ्,सेट्
१.४६०,भ्वादि,ष्टुभुँ॒,स्त॒म्भे,['उ'],आत्मनेपदी,स्तुभ्,सेट्
१.४६१,भ्वादि,गुपूँ,रक्ष॑णे,['ऊ'],परस्मैपदी,गुप्,वेट्
१.४६२,भ्वादि,धूपँ,सन्ता॒पे,['अ'],परस्मैपदी,धूप्,सेट्
१.४६३,भ्वादि,जपँ,व्य॑क्तायां वा॒चि मान॒से च॑,['अ'],परस्मैपदी,जप्,सेट्
१.४६४,भ्वादि,जल्पँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,जल्प्,सेट्
१.४६५,भ्वादि,चपँ,सान्त्व॑ने,['अ'],परस्मैपदी,चप्,सेट्
१.४६६,भ्वादि,षपँ,समवा॒ये,['अ'],परस्मैपदी,सप्,सेट्
१.४६७,भ्वादि,रपँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,रप्,सेट्
१.४६८,भ्वादि,लपँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,लप्,सेट्
१.४६९,भ्वादि,चुपँ,म॒न्दायां॒ गतौ॑,['अ'],परस्मैपदी,चुप्,सेट्
१.४७०,भ्वादि,तुपँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,तुप्,सेट्
१.४७१,भ्वादि,तुम्पँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,तुम्प्,सेट्
१.४७२,भ्वादि,त्रुपँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,त्रुप्,सेट्
१.४७३,भ्वादि,त्रुम्पँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,त्रुम्प्,सेट्
१.४७४,भ्वादि,तुफँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,तुफ्,सेट्
१.४७५,भ्वादि,तुम्फँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,तुम्फ्,सेट्
१.४७६,भ्वादि,त्रुफँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,त्रुफ्,सेट्
१.४७७,भ्वादि,त्रुम्फँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,त्रुम्फ्,सेट्
१.४७८,भ्वादि,पर्पँ,गतौ॑,['अ'],परस्मैपदी,पर्प्,सेट्
१.४७९,भ्वादि,रफँ,गतौ॑,['अ'],परस्मैपदी,रफ्,सेट्
१.४८०,भ्वादि,रफिँ,गतौ॑,['इ'],परस्मैपदी,रम्फ्,सेट्
१.४८१,भ्वादि,अर्बँ,गतौ॑,['अ'],परस्मैपदी,अर्ब्,सेट्
१.४८२,भ्वादि,पर्बँ,गतौ॑,['अ'],परस्मैपदी,पर्ब्,सेट्
१.४८३,भ्वादि,लर्बँ,गतौ॑,['अ'],परस्मैपदी,लर्ब्,सेट्
१.४८४,भ्वादि,बर्बँ,गतौ॑,['अ'],परस्मैपदी,बर्ब्,सेट्
१.४८५,भ्वादि,मर्बँ,गतौ॑,['अ'],परस्मैपदी,मर्ब्,सेट्
१.४८६,भ्वादि,कर्बँ,गतौ॑,['अ'],परस्मैपदी,कर्ब्,सेट्
१.४८७,भ्वादि,खर्बँ,गतौ॑,['अ'],परस्मैपदी,खर्ब्,सेट्
१.४८८,भ्वादि,गर्बँ,गतौ॑,['अ'],परस्मैपदी,गर्ब्,सेट्
१.४८९,भ्वादि,शर्बँ,गतौ॑,['अ'],परस्मैपदी,शर्ब्,सेट्
१.४९०,भ्वादि,षर्बँ,गतौ॑,['अ'],परस्मैपदी,सर्ब्,सेट्
१.४९१,भ्वादि,चर्बँ,गतौ॑ अद॑ने च,['अ'],परस्मैपदी,चर्ब्,सेट्
१.४९२,भ्वादि,कुबिँ,आच्छाद॑ने (छाद॑ने),['इ'],परस्मैपदी,कुम्ब्,सेट्
१.४९३,भ्वादि,लुबिँ,अर्द॑ने,['इ'],परस्मैपदी,लुम्ब्,सेट्
१.४९४,भ्वादि,तुबिँ,अर्द॑ने,['इ'],परस्मैपदी,तुम्ब्,सेट्
१.४९५,भ्वादि,चुबिँ,वक्त्रसंयो॒गे,['इ'],परस्मैपदी,चुम्ब्,सेट्
१.४९६,भ्वादि,षृभुँ,हिं॒सार्थौ॑,['उ'],परस्मैपदी,सृभ्,सेट्
१.४९७,भ्वादि,षृम्भुँ,हिं॒सार्थौ॑,['उ'],परस्मैपदी,सृम्भ्,सेट्
१.४९८,भ्वादि,षिभुँ,हिं॒सार्थौ॑,['उ'],परस्मैपदी,सिभ्,सेट्
१.४९९,भ्वादि,षिम्भुँ,हिं॒सार्थौ॑,['उ'],परस्मैपदी,सिम्भ्,सेट्
१.५००,भ्वादि,शुभँ,भाष॑ने,['अ'],परस्मैपदी,शुभ्,सेट्
१.५०१,भ्वादि,शुम्भँ,भाष॑ने,['अ'],परस्मैपदी,शुम्भ्,सेट्
१.५०२,भ्वादि,घिणिँ॒,ग्रह॑णे,['इ'],आत्मनेपदी,घिन्ण्,सेट्
१.५०३,भ्वादि,घुणिँ॒,ग्रह॑णे,['इ'],आत्मनेपदी,घुन्ण्,सेट्
१.५०४,भ्वादि,घृणिँ॒,ग्रह॑णे,['इ'],आत्मनेपदी,घृन्ण्,सेट्
१.५०५,भ्वादि,घुणँ॒,भ्रम॑णे,['अ'],आत्मनेपदी,घुण्,सेट्
१.५०६,भ्वादि,घूर्णँ॒,भ्रम॑णे,['अ'],आत्मनेपदी,घूर्ण्,सेट्
१.५०७,भ्वादि,पणँ॒,व्यवहा॒रे स्तुतौ॑ च,['अ'],आत्मनेपदी,पण्,सेट्
१.५०८,भ्वादि,पनँ॒,व्यवहा॒रे स्तुतौ॑ च,['अ'],आत्मनेपदी,पन्,सेट्
१.५०९,भ्वादि,भामँ॒,क्रोधे॑,['अ'],आत्मनेपदी,भाम्,सेट्
१.५१०,भ्वादि,क्षमूँ॒ष्,सह॑ने,"['ऊ', 'ष्']",आत्मनेपदी,क्षम्,वेट्
१.५११,भ्वादि,कमुँ॒,कान्तौ॑,['उ'],आत्मनेपदी,कम्,सेट्
१.५१२,भ्वादि,अणँ,शब्दे,['अ'],परस्मैपदी,अण्,सेट्
१.५१३,भ्वादि,रणँ,शब्दे,['अ'],परस्मैपदी,रण्,सेट्
१.५१४,भ्वादि,वणँ,शब्दे,['अ'],परस्मैपदी,वण्,सेट्
१.५१५,भ्वादि,भणँ,शब्दे,['अ'],परस्मैपदी,भण्,सेट्
१.५१६,भ्वादि,मणँ,शब्दे,['अ'],परस्मैपदी,मण्,सेट्
१.५१७,भ्वादि,कणँ,शब्दे,['अ'],परस्मैपदी,कण्,सेट्
१.५१८,भ्वादि,क्वणँ,शब्दे,['अ'],परस्मैपदी,क्वण्,सेट्
१.५१९,भ्वादि,व्रणँ,शब्दे,['अ'],परस्मैपदी,व्रण्,सेट्
१.५२०,भ्वादि,भ्रणँ,शब्दे,['अ'],परस्मैपदी,भ्रण्,सेट्
१.५२१,भ्वादि,ध्वणँ,शब्दे,['अ'],परस्मैपदी,ध्वण्,सेट्
१.५२२,भ्वादि,धणँ,शब्दे,['अ'],परस्मैपदी,धण्,सेट्
१.५२३,भ्वादि,ओणृँ,अप॒नय॑ने,['ऋ'],परस्मैपदी,ओण्,सेट्
१.५२४,भ्वादि,शोणृँ,वर्णग॒त्योः,['ऋ'],परस्मैपदी,शोण्,सेट्
१.५२५,भ्वादि,श्रोणृँ,सङ्घा॒ते,['ऋ'],परस्मैपदी,श्रोण्,सेट्
१.५२६,भ्वादि,श्लोणृँ,सङ्घा॒ते,['ऋ'],परस्मैपदी,श्लोण्,सेट्
१.५२७,भ्वादि,पैणृँ,गतिप्रेरणश्लेष॒णेषु॑,['ऋ'],परस्मैपदी,पैण्,सेट्
१.५२८,भ्वादि,प्रैणृँ,गतिप्रेरणश्लेष॒णेषु॑,['ऋ'],परस्मैपदी,प्रैण्,सेट्
१.५२९,भ्वादि,ध्रणँ,शब्दे॑,['अ'],परस्मैपदी,ध्रण्,सेट्
१.५३०,भ्वादि,बणँ,शब्दे॑,['अ'],परस्मैपदी,बण्,सेट्
१.५३१,भ्वादि,कनीँ,दीप्तिकान्तिग॒तिषु॑,['ई'],परस्मैपदी,कन्,सेट्
१.५३२,भ्वादि,ष्टनँ,शब्दे॑,['अ'],परस्मैपदी,स्तन्,सेट्
१.५३३,भ्वादि,वनँ,शब्दे॑,['अ'],परस्मैपदी,वन्,सेट्
१.५३४,भ्वादि,वनँ,सम्भ॑क्तौ,['अ'],परस्मैपदी,वन्,सेट्
१.५३५,भ्वादि,षनँ,सम्भ॑क्तौ,['अ'],परस्मैपदी,सन्,सेट्
१.५३६,भ्वादि,अमँ,गत्या॑दिषु (गतौ॒ शब्दे॑ सम्भ॑क्तौ॑ च),['अ'],परस्मैपदी,अम्,सेट्
१.५३७,भ्वादि,द्रमँ,गतौ॑,['अ'],परस्मैपदी,द्रम्,सेट्
१.५३८,भ्वादि,हम्मँ,गतौ॑,['अ'],परस्मैपदी,हम्म्,सेट्
१.५३९,भ्वादि,मीमृँ,गतौ॑ शब्दे॑ च,['ऋ'],परस्मैपदी,मीम्,सेट्
१.५४०,भ्वादि,चमुँ,अद॑ने,['उ'],परस्मैपदी,चम्,सेट्
१.५४१,भ्वादि,छमुँ,अद॑ने,['उ'],परस्मैपदी,छम्,सेट्
१.५४२,भ्वादि,जमुँ,अद॑ने,['उ'],परस्मैपदी,जम्,सेट्
१.५४३,भ्वादि,झमुँ,अद॑ने,['उ'],परस्मैपदी,झम्,सेट्
१.५४४,भ्वादि,जिमुँ,अद॑ने,['उ'],परस्मैपदी,जिम्,सेट्
१.५४५,भ्वादि,क्रमुँ,,['उ'],परस्मैपदी,क्रम्,सेट्
१.५४६,भ्वादि,अयँ॒,गतौ॑,['अ'],आत्मनेपदी,अय्,सेट्
१.५४७,भ्वादि,वयँ॒,गतौ॑,['अ'],आत्मनेपदी,वय्,सेट्
१.५४८,भ्वादि,पयँ॒,गतौ॑,['अ'],आत्मनेपदी,पय्,सेट्
१.५४९,भ्वादि,मयँ॒,गतौ॑,['अ'],आत्मनेपदी,मय्,सेट्
१.५५०,भ्वादि,चयँ॒,गतौ॑,['अ'],आत्मनेपदी,चय्,सेट्
१.५५१,भ्वादि,तयँ॒,गतौ॑,['अ'],आत्मनेपदी,तय्,सेट्
१.५५२,भ्वादि,णयँ॒,गतौ॑ रक्ष॑णे च,['अ'],आत्मनेपदी,नय्,सेट्
१.५५३,भ्वादि,दयँ॒,दानगतिरक्षणहिंसादा॒नेषु॑,['अ'],आत्मनेपदी,दय्,सेट्
१.५५४,भ्वादि,रयँ॒,गतौ॑,['अ'],आत्मनेपदी,रय्,सेट्
१.५५५,भ्वादि,लयँ॒,गतौ॑,['अ'],आत्मनेपदी,लय्,सेट्
१.५५६,भ्वादि,ऊयीँ॒,तन्तुसन्ता॒ने,['ई'],आत्मनेपदी,ऊय्,सेट्
१.५५७,भ्वादि,पूयीँ॒,वि॒शर॑णे दुर्ग॒न्धे च॑,['ई'],आत्मनेपदी,पूय्,सेट्
१.५५८,भ्वादि,क्नूयीँ॒,शब्द॒ उन्दे॑ च,['ई'],आत्मनेपदी,क्नूय्,सेट्
१.५५९,भ्वादि,क्ष्मायीँ॒,वि॒धून॑ने,['ई'],आत्मनेपदी,क्ष्माय्,सेट्
१.५६०,भ्वादि,स्फायीँ॒,वृद्धौ॑,['ई'],आत्मनेपदी,स्फाय्,सेट्
१.५६१,भ्वादि,ओँप्यायीँ॒,वृद्धौ॑,['ई'],आत्मनेपदी,ओप्याय्,सेट्
१.५६२,भ्वादि,तायृँ॒,सन्तानपाल॒नयोः॑,['ऋ'],आत्मनेपदी,ताय्,सेट्
१.५६३,भ्वादि,शलँ॒,चलनसंवर॒णयोः॑,['अ'],आत्मनेपदी,शल्,सेट्
१.५६४,भ्वादि,वल॒,सं॒वर॑णे स॒ञ्चल॑ने च,[],परस्मैपदी,वल॒,सेट्
१.५६५,भ्वादि,वल्लँ॒,सं॒वर॑णे स॒ञ्चल॑ने च,['अ'],आत्मनेपदी,वल्ल्,सेट्
१.५६६,भ्वादि,मलँ॒,धार॑णे,['अ'],आत्मनेपदी,मल्,सेट्
१.५६७,भ्वादि,मल्लँ॒,धार॑णे,['अ'],आत्मनेपदी,मल्ल्,सेट्
१.५६८,भ्वादि,भलँ॒,परिभाषणहिंसादा॒नेषु॑,['अ'],आत्मनेपदी,भल्,सेट्
१.५६९,भ्वादि,भल्लँ॒,परिभाषणहिंसादा॒नेषु॑,['अ'],आत्मनेपदी,भल्ल्,सेट्
१.५७०,भ्वादि,कलँ॒,शब्दसङ्ख्या॒नयोः॑,['अ'],आत्मनेपदी,कल्,सेट्
१.५७१,भ्वादि,कल्लँ॒,अव्य॑क्ते॒ शब्दे॑ । अश॑ब्द॒ इत्येके॑,['अ'],आत्मनेपदी,कल्ल्,सेट्
१.५७२,भ्वादि,तेवृँ॒,देव॑ने,['ऋ'],आत्मनेपदी,तेव्,सेट्
१.५७३,भ्वादि,देवृँ॒,देव॑ने,['ऋ'],आत्मनेपदी,देव्,सेट्
१.५७४,भ्वादि,षेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,सेव्,सेट्
१.५७५,भ्वादि,गेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,गेव्,सेट्
१.५७६,भ्वादि,ग्लेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,ग्लेव्,सेट्
१.५७७,भ्वादि,पेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,पेव्,सेट्
१.५७८,भ्वादि,मेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,मेव्,सेट्
१.५७९,भ्वादि,म्लेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,म्लेव्,सेट्
१.५८०,भ्वादि,शेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,शेव्,सेट्
१.५८१,भ्वादि,खेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,खेव्,सेट्
१.५८२,भ्वादि,प्लेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,प्लेव्,सेट्
१.५८३,भ्वादि,केवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,केव्,सेट्
१.५८४,भ्वादि,रेवृँ॒,प्लव॒गतौ॑,['ऋ'],आत्मनेपदी,रेव्,सेट्
१.५८५,भ्वादि,मव्यँ,बन्ध॑ने,['अ'],परस्मैपदी,मव्य्,सेट्
१.५८६,भ्वादि,षूर्क्ष्यँ,ई॒र्ष्यार्थाः॑,['अ'],परस्मैपदी,सूर्क्ष्य्,सेट्
१.५८७,भ्वादि,ईर्क्ष्यँ,ई॒र्ष्यार्थाः॑,['अ'],परस्मैपदी,ईर्क्ष्य्,सेट्
१.५८८,भ्वादि,ईर्ष्यँ,ई॒र्ष्यार्थाः॑,['अ'],परस्मैपदी,ईर्ष्य्,सेट्
१.५८९,भ्वादि,हयँ,गतौ॑,['अ'],परस्मैपदी,हय्,सेट्
१.५९०,भ्वादि,शुच्यँ,अभिष॒वे,['अ'],परस्मैपदी,शुच्य्,सेट्
१.५९१,भ्वादि,चुच्यँ,अभिष॒वे,['अ'],परस्मैपदी,चुच्य्,सेट्
१.५९२,भ्वादि,हर्यँ,गतिका॒न्त्योः,['अ'],परस्मैपदी,हर्य्,सेट्
१.५९३,भ्वादि,अलँ,भूषणपर्याप्तिवा॒रणेषु॑,['अ'],परस्मैपदी,अल्,सेट्
१.५९४,भ्वादि,ञिफलाँ,वि॒शर॑णे,"['आ', 'ञि']",परस्मैपदी,फल्,सेट्
१.५९५,भ्वादि,मीलँ,नि॒मेष॑णे,['अ'],परस्मैपदी,मील्,सेट्
१.५९६,भ्वादि,श्मीलँ,नि॒मेष॑णे,['अ'],परस्मैपदी,श्मील्,सेट्
१.५९७,भ्वादि,स्मीलँ,नि॒मेष॑णे,['अ'],परस्मैपदी,स्मील्,सेट्
१.५९८,भ्वादि,क्ष्मीलँ,नि॒मेष॑णे,['अ'],परस्मैपदी,क्ष्मील्,सेट्
१.५९९,भ्वादि,पीलँ,प्रतिष्ट॒म्भे,['अ'],परस्मैपदी,पील्,सेट्
१.६००,भ्वादि,णीलँ,वर्णे॑,['अ'],परस्मैपदी,नील्,सेट्
१.६०१,भ्वादि,शीलँ,समा॒धौ,['अ'],परस्मैपदी,शील्,सेट्
१.६०२,भ्वादि,कीलँ,बन्ध॑ने,['अ'],परस्मैपदी,कील्,सेट्
१.६०३,भ्वादि,कूलँ,आ॒वर॑णे,['अ'],परस्मैपदी,कूल्,सेट्
१.६०४,भ्वादि,शूलँ,रु॒जायां॑ सङ्घा॒ते च॑,['अ'],परस्मैपदी,शूल्,सेट्
१.६०५,भ्वादि,तूलँ,निष्क॒र्षे,['अ'],परस्मैपदी,तूल्,सेट्
१.६०६,भ्वादि,पूलँ,सङ्घा॒ते,['अ'],परस्मैपदी,पूल्,सेट्
१.६०७,भ्वादि,मूलँ,प्रति॒ष्ठाया॑म्,['अ'],परस्मैपदी,मूल्,सेट्
१.६०८,भ्वादि,फलँ,निष्प॑त्तौ,['अ'],परस्मैपदी,फल्,सेट्
१.६०९,भ्वादि,चुल्लँ,भावकर॒णे,['अ'],परस्मैपदी,चुल्ल्,सेट्
१.६१०,भ्वादि,फुल्लँ,वि॒कस॑ने,['अ'],परस्मैपदी,फुल्ल्,सेट्
१.६११,भ्वादि,चिल्लँ,शैथि॑ल्ये भावकर॒णे च॑,['अ'],परस्मैपदी,चिल्ल्,सेट्
१.६१२,भ्वादि,तिलँ,गतौ॑,['अ'],परस्मैपदी,तिल्,सेट्
१.६१३,भ्वादि,तिल्लँ,इत्येके॑,['अ'],परस्मैपदी,तिल्ल्,सेट्
१.६१४,भ्वादि,वेलृँ,चल॑ने,['ऋ'],परस्मैपदी,वेल्,सेट्
१.६१५,भ्वादि,चेलृँ,चल॑ने,['ऋ'],परस्मैपदी,चेल्,सेट्
१.६१६,भ्वादि,केलृँ,चल॑ने,['ऋ'],परस्मैपदी,केल्,सेट्
१.६१७,भ्वादि,खेलृँ,चल॑ने,['ऋ'],परस्मैपदी,खेल्,सेट्
१.६१८,भ्वादि,क्ष्वेलृँ,चल॑ने,['ऋ'],परस्मैपदी,क्ष्वेल्,सेट्
१.६१९,भ्वादि,वेल्लँ,चल॑ने,['अ'],परस्मैपदी,वेल्ल्,सेट्
१.६२०,भ्वादि,वेह्लँ,चल॑ने,['अ'],परस्मैपदी,वेह्ल्,सेट्
१.६२१,भ्वादि,पेलृँ,गतौ॑,['ऋ'],परस्मैपदी,पेल्,सेट्
१.६२२,भ्वादि,फेलृँ,गतौ॑,['ऋ'],परस्मैपदी,फेल्,सेट्
१.६२३,भ्वादि,शेलृँ,गतौ॑,['ऋ'],परस्मैपदी,शेल्,सेट्
१.६२४,भ्वादि,षेलृँ,इत्येके॑,['ऋ'],परस्मैपदी,सेल्,सेट्
१.६२५,भ्वादि,स्खलँ,स॒ञ्चल॑ने,['अ'],परस्मैपदी,स्खल्,सेट्
१.६२६,भ्वादि,खलँ,स॒ञ्चल॑ने सञ्च॒ये च,['अ'],परस्मैपदी,खल्,सेट्
१.६२७,भ्वादि,गलँ,अद॑ने भक्ष॑णे स्रा॒वे च॑,['अ'],परस्मैपदी,गल्,सेट्
१.६२८,भ्वादि,षलँ,गतौ॑,['अ'],परस्मैपदी,सल्,सेट्
१.६२९,भ्वादि,दलँ,वि॒शर॑णे,['अ'],परस्मैपदी,दल्,सेट्
१.६३०,भ्वादि,श्वलँ,आशुगम॒ने,['अ'],परस्मैपदी,श्वल्,सेट्
१.६३१,भ्वादि,श्वल्लँ,आशुगम॒ने,['अ'],परस्मैपदी,श्वल्ल्,सेट्
१.६३२,भ्वादि,खोलृँ,गतिप्रतिघा॒ते,['ऋ'],परस्मैपदी,खोल्,सेट्
१.६३३,भ्वादि,खोरृँ,गतिप्रतिघा॒ते,['ऋ'],परस्मैपदी,खोर्,सेट्
१.६३४,भ्वादि,धोरृँ,गतिचातु॒र्ये,['ऋ'],परस्मैपदी,धोर्,सेट्
१.६३५,भ्वादि,त्सरँ,छद्मग॒तौ,['अ'],परस्मैपदी,त्सर्,सेट्
१.६३६,भ्वादि,क्मरँ,हूर्छ॑ने,['अ'],परस्मैपदी,क्मर्,सेट्
१.६३७,भ्वादि,अभ्रँ,गतौ॑,['अ'],परस्मैपदी,अभ्र्,सेट्
१.६३८,भ्वादि,वभ्रँ,गतौ॑,['अ'],परस्मैपदी,वभ्र्,सेट्
१.६३९,भ्वादि,मभ्रँ,गतौ॑,['अ'],परस्मैपदी,मभ्र्,सेट्
१.६४०,भ्वादि,चरँ,गतौ॑ भक्ष॑णे च,['अ'],परस्मैपदी,चर्,सेट्
१.६४१,भ्वादि,ष्ठिवुँ,नि॒रस॑ने,['उ'],परस्मैपदी,स्थिव्,सेट्
१.६४२,भ्वादि,जिँ॒,ज॒ये,['इ'],आत्मनेपदी,ञ्ज्,सेट्
१.६४३,भ्वादि,जीवँ,प्राणधार॒णे,['अ'],परस्मैपदी,जीव्,सेट्
१.६४४,भ्वादि,पीवँ,स्थौल्ये॑,['अ'],परस्मैपदी,पीव्,सेट्
१.६४५,भ्वादि,मीवँ,स्थौल्ये॑,['अ'],परस्मैपदी,मीव्,सेट्
१.६४६,भ्वादि,तीवँ,स्थौल्ये॑,['अ'],परस्मैपदी,तीव्,सेट्
१.६४७,भ्वादि,णीवँ,स्थौल्ये॑,['अ'],परस्मैपदी,नीव्,सेट्
१.६४८,भ्वादि,क्षिवुँ,नि॒रस॑ने,['उ'],परस्मैपदी,क्षिव्,सेट्
१.६४९,भ्वादि,क्षेवुँ,नि॒रस॑ने,['उ'],परस्मैपदी,क्षेव्,सेट्
१.६५०,भ्वादि,उर्वीँ,हिं॒सार्थाः॑,['ई'],परस्मैपदी,उर्व्,सेट्
१.६५१,भ्वादि,तुर्वी,हिं॒सार्थाः॑,[],परस्मैपदी,तुर्वी,सेट्
१.६५२,भ्वादि,थुर्वी,हिं॒सार्थाः॑,[],परस्मैपदी,थुर्वी,सेट्
१.६५३,भ्वादि,दुर्वीँ,हिं॒सार्थाः॑,['ई'],परस्मैपदी,दुर्व्,सेट्
१.६५४,भ्वादि,धुर्वीँ,हिं॒सार्थाः॑,['ई'],परस्मैपदी,धुर्व्,सेट्
१.६५५,भ्वादि,गुर्वीँ,उ॒द्यम॑ने,['ई'],परस्मैपदी,गुर्व्,सेट्
१.६५६,भ्वादि,मुर्वीँ,बन्ध॑ने,['ई'],परस्मैपदी,मुर्व्,सेट्
१.६५७,भ्वादि,पुर्वँ,पूर॑णे,['अ'],परस्मैपदी,पुर्व्,सेट्
१.६५८,भ्वादि,पर्वँ,पूर॑णे,['अ'],परस्मैपदी,पर्व्,सेट्
१.६५९,भ्वादि,मर्वँ,पूर॑णे,['अ'],परस्मैपदी,मर्व्,सेट्
१.६६०,भ्वादि,चर्वँ,अद॑ने,['अ'],परस्मैपदी,चर्व्,सेट्
१.६६१,भ्वादि,भर्वँ,हिं॒साया॑म्,['अ'],परस्मैपदी,भर्व्,सेट्
१.६६२,भ्वादि,भर्बँ,हिं॒साया॑म्,['अ'],परस्मैपदी,भर्ब्,सेट्
१.६६३,भ्वादि,भर्भँ,हिं॒साया॑म्,['अ'],परस्मैपदी,भर्भ्,सेट्
१.६६४,भ्वादि,कर्वँ,दर्पे॑,['अ'],परस्मैपदी,कर्व्,सेट्
१.६६५,भ्वादि,खर्वँ,दर्पे॑,['अ'],परस्मैपदी,खर्व्,सेट्
१.६६६,भ्वादि,गर्वँ,दर्पे॑,['अ'],परस्मैपदी,गर्व्,सेट्
१.६६७,भ्वादि,अर्वँ,हिं॒साया॑म्,['अ'],परस्मैपदी,अर्व्,सेट्
१.६६८,भ्वादि,शर्वँ,हिं॒साया॑म्,['अ'],परस्मैपदी,शर्व्,सेट्
१.६६९,भ्वादि,षर्वँ,हिं॒साया॑म्,['अ'],परस्मैपदी,सर्व्,सेट्
१.६७०,भ्वादि,इविँ,व्याप्तौ॑,['इ'],परस्मैपदी,इन्व्,सेट्
१.६७१,भ्वादि,पिविँ,सेवने सेच॑ने च,['इ'],परस्मैपदी,पिन्व्,सेट्
१.६७२,भ्वादि,मिविँ,सेवने सेच॑ने संस्रने च,['इ'],परस्मैपदी,मिन्व्,सेट्
१.६७३,भ्वादि,णिविँ,सेवने सेच॑ने संस्रने च,['इ'],परस्मैपदी,निन्व्,सेट्
१.६७४,भ्वादि,षिविँ,सेवने सेच॑ने च,['इ'],परस्मैपदी,सिन्व्,सेट्
१.६७५,भ्वादि,हिविँ,प्रीण॑नार्थाः,['इ'],परस्मैपदी,हिन्व्,सेट्
१.६७६,भ्वादि,दिविँ,प्रीण॑नार्थाः,['इ'],परस्मैपदी,दिन्व्,सेट्
१.६७७,भ्वादि,धिविँ,प्रीण॑नार्थाः,['इ'],परस्मैपदी,धिन्व्,सेट्
१.६७८,भ्वादि,जिविँ,प्रीण॑नार्थाः,['इ'],परस्मैपदी,जिन्व्,सेट्
१.६७९,भ्वादि,रिविँ,गत्य॑र्थाः,['इ'],परस्मैपदी,रिन्व्,सेट्
१.६८०,भ्वादि,रविँ,गत्य॑र्थाः,['इ'],परस्मैपदी,रन्व्,सेट्
१.६८१,भ्वादि,धविँ,गत्य॑र्थाः,['इ'],परस्मैपदी,धन्व्,सेट्
